die (politische) Partei (-en)				le parti (politique)
von etwas abhängen 					dépendre de qch.
Je mehr... desto mehr					plus... plus
die Quelle 					 	la source
der Beitrag ( ̈- e) 					la cotisation
die Spende (-n) 					le don
das Vorbild 					 	das Modell
die Fraktion (-en) 					le groupe parlementaire
die Auseinandersetzung (-en) 				la confrontation
stattfinden 					 	se dérouler, avoir lieu
Abgeordnet.e.r 					 	le député (der Parlamentarier)
die Hürde (-n) 					 	l’obstacle 
mindestens 					 	au minimum
Unionsparteien 					 	CDU und CSU bilden eine einzige Fraktion im Bundestag
hinzukommen 					 	se rajouter à
aus Protest gegen etwas 				en signe de protestation contre qch.
gründen 					 	fonder (die Gründung la fondation)
die Lebensbedingungen 					les conditions de vie
mit etwas unzufrieden sein 				être mécontent de qch.
Die Ausbeutung 					 	l’exploitation
etwas bekämpfen L gegen etwas kämpfen 			lutter contre qch.
etwas fordern 					 	exiger, revendiquer 
die Forderung (-en) 					la revendication
die Gleichheit 					 	l’égalité
von etwas geprägt 					imprégné de qch.
Sich vor etwas/jemandem fürchten 			craindre qch/qn. (Angst haben)
teilweise 					 	partiellement
Die Volksbewegung 					le mouvement populaire
unterdrücken 					 	opprimer 
die Unterdrückung 					l’oppression (politique)
etwas verteidigen 					défendre qch.
Der Fortschritt 					le progrès
sich einsetzen für 					s’engager pour, défendre quelque chose
sich spalten 					 	se diviser,
die Spaltung 					 	la division, la scission
der Flügel 					 	l’aile
die Wirtschaft 					 	l’économie
das aufklärerische Denken 				la pensée des lumières
die Aufklärung 					 	les Lumières allemandes)
sich ausbreiten 					s’étendre
seine Fähigkeiten entfalten 				développer ses capacités
die Meinungsfreiheit 					la liberté d’opinion
der Einzelne 					 	l’individu (adj. substantivé)
die Macht 					 	le pouvoir 
 die Allmacht 					 	la toute puissance
bedrohen 					 	menacer
die Konservativen 					les conservateurs
der Adel 					 	la noblesse 
die Adligen 					 	les nobles
zu etwas gehören 					appartenir à qch.
das Bürgertum 					 	la bourgeoisie
der Wert (e) 					 	la valeur
der Anhänger 					 	l’adepte, le partisan
das Fazit 					 	bilan/résumé
der Feind (e) 					 	l’ennemi
etwas überleben 					survivre à qch.
verstärken 					 	renforcer
etwas/jn anerkennen 					reconnaitre qch./qn. (
die Anerkennung 					la reconnaissance)
einer Partei beitreten (i, a, e) 			adhérer à un parti (
der Beitritt 					 	l’adhésion)
der Sitz (e) 					 	le siège
schrumpfen 					 	se rétrécir, se contracter
der Anteil (e) 					 	la part
verkörpern 					 	incarner
deutliche 					 	nettement
vorn (adverbe) 					 	devant, en tête
die Splitterpartei 					parti minoritaire (
der Splitter 					 	l’éclat, le fragment)
die Wählerschaft 					l’électorat
die Schicht (-en) 					la couche
der Mittelstand 					les classes moyennes
die Erneuerung 					 	le renouvellement
notwendig 					 	nécessaire
die Besatzungszonen 					les zones d’occupation
erlauben 					 	autoriser 
die Erlaubnis						l'autorisation
der Neuanfang 					 	le nouveau départ
die Zwangvereinigung 					la réunion forcée
der Zusammenbruch 					l’effondrement
beherrschen 					 	dominieren
ein Unrechtsstaat 					un Etat de non-droit
die bürgerliche Partei 					le parti conservateur (konservative Partei)
die Schicksalsgemeinschaft 				la communauté de destin
die Spaltung 					 	la division
überwinden (a, u) 					surmonter
die Bedrohung 					 	la menace
die Einschränkung 					la restriction, la limitation
Außerparalamentarische Opposition 			opposition extra-parlementaire (= à l’extérieur du parlement, en dehors du système institutionnel établi)
die Bürgerinitiative (n) 				l’initiative citoyenne
eine Initiative starten 				lancer une initiative
herausfordern 					 	provoquer, défier
unterstützen 					 	soutenir
die Grünen 					 	les Verts / les écologistes
die politische Landschaft 				le paysage politique
grundlegend verändert 					modifier en profondeur
scheitern 					 	échouer
vertreten (i, a, e) 					représenter
die Wende					 	le tournant, ce terme designe le processus de réunification en /
fest Fuß fassen 					prendre solidement pied
die Regierungspartei 					parti de gouvernement
Gesamtdeutsch 					 	unifié (Ostdeutschland + Westdeutschland)
ehemalig 					 	ancien
der Nachfolger/die Nachfolgerin 			le successeur, l’héritier
die alten Bundesländer 					die westdeutschen Länder 
 die neuen Bundesländer 				die ostdeutschen Länder
kaum Resonanz finden 					ne trouver que peu d’écho
In den Bundestag einziehen 				entrer au Bundestag (der Einzug)
Die Akademiker 					 	les universitaires
knapp 					 		de peu, courtement
Etwas überblicken 					avoir une vue d’ensemble sur 
 der Überblick 					 	vue d’ensemble, aperçu
Die Zersplitterung 					la fragmentation, l’émiettement
zu Wahlen antreten 					se présenter aux élections
die Öffentlichkeit 					l’opinion publique
der Gegner 					 	l’opposant
die Priester 					 	les prêtres
die Vorsitzende(r) 					la présidente/le président
Das Versprechen (-) 					l’engagement, la promesse
die Abschiebung 					l’expulsion
« Leitkultur »					 	culture dominante, c’est-à-dire les valeurs identaires traditionnelles de l’Allemagne comme la langue, la performance, ....
die Steuerentlastung 					abattement fiscal
die Aufstockung 					renforcement, augmentation des effectifs
die Gewerkschaft 					le syndicat
traditionsgemäß 					traditionnellement
die Gerechtigkeit 					la justice
die Bildung 					 	la formation 
 die Erziehung 					    	l’éducation
die Wende						le tournant (
wenden 					 		tourner)
sich zu etwas bekennen 					adhérer à qch., se réclamer de qch.
Das Bekenntnis 					 	l’aveu, la confession.
Bisher 					 		jusqu’à présent
die Bundeswehr 					 	die Bundesarmee
ablehnen 					 	rejeter
sich annähern 					 	se rapprocher
der Nachfoler 					 	le successeur
umstritten sein 					être contesté
das Einwanderungsgesetz 				loi sur l’immigration
Steuerentlastungen 					allégements fiscaux
Aufstockung 					 	renforcement
die Linke 					 	la gauche ( plus à gauche que le SPD)
mitregieren 					 	participer au gouvernement
erhöhen 					 	relever
stärkere Besteuerung 					imposition renforcée
Kapitalerträge 					 	revenus du capital
Erbschaften 					 	héritages
das Einkommen (-) 					le revenu
die Frauenrechtlerin 					féministe
das Kabinett 					 	die Regierung
an die Macht kommen 					arriver au pouvoir
ursprünglich 					 	à l’origine
Das Kernthema 					 	le sujet de base
Der Flüchtling (-e) 					le réfugié
Der Freiberufler (- ) 					celui qui exerce une profession libérale
der Selbstständige (adj. substantivé) 			le travailleur indépendant
Der Unternehmer (- ) 					l’entrepreneur 
der Zahnartz ( ̈- ) 					le dentiste 
der Rechtsanwalt ( ̈-e) 				l’avocat
ununterbrochen 					sans interruption
Insgesamt 					au total, en tout
Mitregieren 					participer au gouvernement
Auf etwas setzen 				miser sur qch.
Steuererleichterungen 				allégements fiscaux
die Unterstützung 				le soutien
Nach rechts/links rücken 			prendre un virage à droite/gauche (sens figuré)
Flüchtlinge aufnehmen 				accueillir des réfugiés
großzügig 					généreux
jemanden erschrecken 				effrayer qn.
Abgelehnte Asylbewerber 			les demandeurs d’asile dont la demande a été rejetée
Abschieben 					expluser 
die Abschiebung (-en) 				l’expulsion
begrüßen 					saluer
Anlocken 					attirer, séduire
Verhandlungen führen 				mener des négociations
Der Vertrag (s,  ̈-e) 				le contrat (ici) 
einen Vertrag abschließen 			conclure un accord
Verbündet 					allié 
der Verbündete 					der Alliierte (adj. Substantivés)
In die Praxis umsetzen 				mettre en pratique
häufig 					 	fréquent
Die Sondierungsgespräche 			les pourparlers
scheitern 					échouer
zählen 					 	compter, comptabiliser
übergroß 					surdimensionné
die Kosten 					les couts 
Mehrkosten 					couts additionnels
die Steuerzahler 				les contribuables
die wachsende Zahl 				le nombre croissant
der Nachteil (e) 				le désavantage
der Platzmangel 				le manque de place
nötig 					 	nécessaire
Die Zusammensetzung 				la composition
dier Frauenquote /der Frauenanteil 		la proportion de femmes
vertreten 					représenter
mit Migrantenhintergrund 			issu de l’immigration.
Die Gesamtbevölkerung 				la population totale
Durchschnittlich 				en moyenne 
stammen aus 					être originaire de
türksichestämmig 				d’origine turque
die Altersgruppen 				les classes d’âge
die Berufsgruppe 				la catégorie professionnelle
überwiegend 					principalement, essentiellement
Der Akademiker 					le diplômé d’université, l’universitaire
der Wirtschaftswissenschaftler 			l’économiste
der Handwerker (-) 				l’artisan
Der Landwirt 					l’agriculteur
etwas (Dat.) entsprechen 			correspondre à qch.
der Anteil 					la part, la proportion
die Erwerbstätigen 				les actifs
die erwerbstätige Bevölkerung 			la population active
die Landwirtschaft 				l’agriculture
das Amt 					la fonction, le mandat
die gesetzgeberische Gewalt / die Legislative 	le pouvoir législatif
leiten 					 	diriger
die Sitzung (en) 				la séance
über etwas wachen 				veiller à qch.
Die Spielregeln einhalten 			respecter les règles du jeu
jemandem das Wort geben /entziehen 		donner/reprendre la parole à qn.
Jemanden ausschließen 				exclure qn.
Der Amtsinhaber 				le titulaire
herausragend 					remarquable
ehemalig 					ancien
Bundesminister des Inneren 			minisre fédéral de l’intérieur
das Staatsoberhaupt 				le chef d’Etat
die Bundesversammlung 				assemblée fédérale
das höchste Gericht / das oberste Gericht 	la juridiction/Cour suprême
der Hüter 					le gardien (
der Torhüter 					le gardien de but)
etwas überprüfen 				examiner qch.
Verfassungsmäßigkeit				la constitutionalité
der Beschluss ( ̈-e) 				la décision
die Verfassungsbeschwerde 			le recours constitutionnel
sich beschweren / klagen 			se plaindre
eine Verfassungsbeschwerde einreichen 		dépose un recours constitutionnel
ein Gericht anrufen 				saisir un tribunal
die Grundrechte verletzen 			porter atteinte aux droits fondamentaux
das Urteil (e) 					le jugement
ein Urteil fällen 				rendre un jugement
die Unabhängigkeit 				l’indépendance
Die Bevölkerung 				la population
etwa = ungefähr 				environ
schrumpfen 					égresser, se réduire
etwas berechnen 				calculer qch.
Die Geburtenzahl 				la natalité
aufrechterhalten 				maintenir
der Trend 					la tendance
sich fortsetzen 				se poursuivre
langfristig 					à long terme (kurzfristig, mittelfristig)
der Bevölkerungsrückgang 			le déclin déBunmographique
die Zuwanderung 				l’immigration
der Zuzug von Ausländern			l’arrivée d’étrangers
mit Migrationshintergrund 			issu de l’immigration (un des deux parents est d’origine étrangère)
das Hauptmerkmal (e) 				la caractéristique principale
die Religionszugehörigkeit 			l’appartenance religieuse
die evangelische Kirche 			l’église protestante
der Muslim (e) 					le musulman (die muslimische Religion)
der Unterschied 				la différence
das Opfer (-) 					la victime
retten 					 	sauver
das Gebiet (e) 					das Territorium
räumen 					 	évacuer, libérer
die Arbeitskräfte 				la main d’œuvre
der Wiederaufbau 				la reconstruction
gelingen (a,u) 					réussir (es ist gelungen cela a réussi)
der Mauerfall 					la chute du mur
der Zuzug 					l’arrivée
die Wirtschaft 					l’économie
jemanden anwerben (i,a,o) 			recruter (die Anwerbung le recrutement)
die Arbeitsbedingungen 				les conditions de travail
der Lohn ( ̈-e) 				le salaire
etwas verhindern 				empêcher qch.
Statt zurückzugehen 				au lieu de baisser/reculer 
zunehmen 					augmenter
der Lebensstandard 				le niveau de vie
die Abwanderung 				l’exode
die Herausforderung 				le défi
der Zusammenbruch 				l’effondrement
ungehindert 					sans entrave
der Asylantrag ( ̈-e) 				la demande d’asyle
rasch ansteigen (ie, ie) 			augmenter rapidement
Asyl beantragen 				faire une demande d’asyle
die Verantwortung 				la responsabilité
der Zustrom 					l’afflux
etwas hervorrufen 				provoquer qch.
Die Gewalttat (en) 				actes de violence
die Gesamtbevölkerung 				la population totale
Zum Vergleich 					à titre de comparaison
ein Gesetz verabschieden 			adopter une loi
in Kraft treten 				entrer en vigueur.
Der Wandel 					le changement
etwas bewirken 					provoquer, entrainer
erleichtern 					faciliter
leicht 					 	facile
jemandem Kenntnisse vermitteln 			transmettre des connaissances à qn.
Einführen 					introduire
sprunghaft ansteigen 				faire un bond (augmenter fortement)
etwas ablehnen 					rejeter qch.
Zunehmend 					de façon croissante
zurzeit 					actuellement
Die (Volks)Wirtschaft 				l’économie (nationale)
Das Siegel (-) 					le sceau, le cachet, le label (
Qualitätssiegel 				label qualité)
Etwas brandmarken 				stigmatisieren
umdeuten 					réinterpréter
das Unternehmen (-) 				l’entreprise
Die Angabe (n) 					l’indication 
 die Vorschrift (en) 				la directive
ausschließen 					exclure
Der Gesetzgeber 				le législateur
Die Interessenverflechtung 			collusion d’intérêts
vermeieden 					éviter
das Erbrecht 					le droit à la succession
Die Marktwirtschaft 				l’économie de marché
der Haushalt (e) 				le foyer
Angebot und Nachfrage 				l’offre et la demande
Die Lenkung 					le pilotage 
lenken 					 	diriger, guide, piloter (cf.
Das Lenkrad					le volant)
Das wirtschaftliche Geschehen 			les processsus économiques
Einschränken 					limiter
die Kluft 					le fossé
unerwünscht 					indésirable
verhindern 					empêcher
wild 					 	sauvage
Etwas berücksichtigen 				tenir compte de qch.
Für etwas sorgen 				s’occuper de qch., veiller à qch.
Soziale Marktwirtschaft 			économie sociale de marché
Die Bezeichnung 				la désignation
etwas umverteilen 				redistribuer 
der Wohlstand 					l’opulence, la prospérité 
die Wohlstandsgesellschaft 			la société du bien-être/d’abondance
sich auf etwas beschränken 			se limiter à qch.
der Schiedsrichter 				l’arbitre
die Einhaltung der Wettbewerbsregeln 		le respect des règles de la concurrence
der Machtmissbrauch 				l’abus de pouvoir
die Gewerkschaft (en) 				le syndicat 
der Arbeitgeberverband ( ̈-e) 			assocation d’employeurs
selbständig 					indépendant
der Vertrag ( ̈-e) 				l’accord 
der Lohn ( ̈-e) 				le salaire 
die Arbeitsbedingungen 				les conditions de travail
der Lohn ( ̈-e) 				le salaire
ohne Einflussnahme des Staates 			sans l’influence de l’Etat
einen Vertrag abschließen 			conclure un accord.
der Tarifvertrag 				accord salarial
die Laufzeit 					la durée
die Tarifrunde 					la période de négociation salariale
etwas aushandeln 				négocier qch.
etwas fordern 					exiger/revendiquer qch. 
die Forderung (en) 				revendication
die Schlichtung 				la conciliation
der Schlichter 					l’arbitre, le médiateur
scheitern 					échouer
die Urabstimmung 				le vote de la grève par les salariés
streiken 					faire grève (
es wird gestreikt 				on fait grève)
der Streik (s) 					la grève
der Warnstreik 					la grève d’avertissement
die Entschlossenheit 				la détermination
etwas vermeiden 				éviter qch.
Der Friede 					la paix
der Wert (e) 					la valeur
Der Arbeitnehmer 				le travailleur, le salarié
die Friedenspflicht 				l’obligation de respect de la paix du travail
die Tarifrunde 					période de négociation salariale
der Streik (s) 					la grève
lahmlegen 					paralyser
das streikärmste Land 				le pays où l’on fait le moins la grève
einschränken 					limiter, restreindre
Die Beamten 					les fonctionnaires
der Mindestlohn 				le salaire minimum
die Festlegung 					la fixation
einschränken 					limiter, restreindre
Die Mitbestimmung 				la cogestion, la participation aux décisions 
mitbestimmen 					participer à la prise de
der Betrieb (-e) = das Unternehmen (-) 		l’entreprise
der Beschäftigte 				l’employé
der Betriebsrat 				conseil d’entreprise, comité d’entreprise
abgestufte Rechte 				des droits modulés
die Beratung 					la consultation
die Unternehmensführung 			gestion d’entreprise
der Aufsichtsrat 				le conseil de surveillance
der Anteilseigner 				der Aktionär (e)
Fördern 					promouvoir, encourager, favoriser
abbröckeln 					se désagréger, s’effriter
die Globalisierung 				la mondialisaion
die Lebensbedingungen 				les conditions de vie
die Sozialleistungen 				les prestations sociales
die Wirksamkeit 				l’efficacité
umstritten 					contesté
die Gewerkschaft (en) 				le syndicat
düster 					 	sombre
zerschlagen (ä, u, a) 				détruire, démanteler
gleichschalten 					la mise au pas
das Vermögen 					la fortune, le partrimoine
beschlagnahmen					saisir, mettre sous séquestre
DGB 					 	Fédération allemande des syndicats
die Regel					ein Beruf, eine Gewerkschaft.
IG Metall 					Industriegewerkschaft Metall
einer Gewerschaft beitreten 			adhérer à un syndicat
der Zusammenschluss 				le regroupement
Die Dienstleistung 				le service
der Strukturwandel 				les évolutions structurelles
der Rückgang 					le recul, le repli
zugunsten + G. 					au profit de
Dienstleistungsgesellschaft 			société de services 
Informationsgesellschaft 			société de l’information
Die Erwerbstätigen 				la population active (erwerbstätig sein)
der digitale Wandel 				le virage du numériqu
das Motto 					la devise
Einigkeit macht stark 				l’union fait la force
Interessenvertretung 				défense/représentation des intérêts
der Großkonzern (e) 				la grande groupe, la grosse société
die Tarifverhandlung 				la négociation salariale
die Produktionsverlagerung 			délocalisation de la production 
die Standortverlagerung 			la délocalisation 
verlagern 					délocaliser
der Personalabbau 				suppression de personnel, compression d’effectifs
die Entlassung (en) 				le licenciement
die Erpressung 					le chantage
machtlos ausgeliefert 				livrés sans défense
das Zugeständnis (se) 				le concession
Firmenvertrag 					convention d’entreprise
der globale Wettbewerb 				la concurrence mondialisée
erschüttern 					ébranler
brüchig werden 					s’effriter, s’affaiblir
das Versagen 					la défaillance 
 versagen 					échouer, faillir
abschließend 					pour finir
etwas festhalten 				retenir qch.
der gewerkschaftliche Organisationsgrad 	le taux de syndicalisation
die verspätete Nation 				la nation tardive
aufgrund (+ Gen.) 				en raison de
die Zersplitterung 				fragmentation, morcellement
der Zollverein 					l’union douanière
etwas in Gang setzen 				lancer qch.
Die Montanindustrie 				industire du charbon et de l’acier 
Der Bergbau 					industrie minière
Die Hüttenindustrie 				l’industrie sidérurgique 
das Hüttenwerk 					l’aciérie
die Stahlindustrie 				l’industrie sidérurgique
der Waffenschmied (e) 				armurier, fournisseur d’armes
das Geschütz (e) 				le canon
das Rüstungsunternehmen 			l’entreprise d’armement
etwas zur Verfügung stellen 			mettre qch à disposition
der Anteil (e) 					la part
die Aktiengesellschaft (AG) 			société par actions
Ausgeprägt 					marqué, fort
jn/etwas unterstützen 				soutenir qn/qch
die Gräueltat (en) 				l’atrocité
die Anlage (n) 					l’installation
die Zerschlagung 				le démantèlement
schwächen 					afaiblir
die Härte 					la dureté
auf Anordnung (+ Gen.) 				sur ordre
die westliche Welt 				le monde occidental
das Bollwerk (e) 				le rempart
allmählich 					peu à peu
eine Tätigkeit wiederaufnehmen 			reprendre une activité
die Angelegenheit (en) 				l’affaire
sich in etwas (Acc.) einmischen 		intervenir dans qch.
Insbesondere 					tout particulièrement
der Umsatz ( ̈-e) 				le chiffre d’affaires (CA) 
einen Umsatz von ... erwirschaften 		réaliser un chiffre d’affaires de ...
Maßgeblich 					de façon décisive
Das Rückgrat ( ̈-e) 				l’épine dorsale
Auszubildende 					les apprentis 
die berufliche Ausbildung 					 la formation professionnelle
bewundern 					 admirer
der Marktführer 					 le leader du marché
aus etwas bestehen 					 se composer de
die nachhaltige Entwicklung 					 le développement à long terme / le développement durable
übertragen 					 tansmettre 
die Übertragung 					 la transmission
der Erbe (n,n) 					 l’héritier
der Sinn für etwas 					 le sens de qch.
die gesellschaftliche Verantwortung 					 la responsabilité sociale
stark ausgeprägt 					 fortement marqué
der Gewinn 					 le profit 
die Gewinnorientierung 					 la recherche du profit
der Beitrag zu etwas 					 la contribution à qch. (beitragen)
das Gemeinwesen 					 la collectivité
die Schaffung 					 la création (schaffen créer) 
Sicherung 					 garantie
der Arbeitsplatz ( ̈-e) 					 l’emploi
das Verfahren (-) 					 le procédé
das Wohlergehen 					 le bien-être
der Mitarbeiter 					 le collaborateur (dans une entreprise)
die Geschäftsleitung 					 la direction de l’entreprise
verantwortungsbewusst sein					 avoir le sens des responsabilités
traditionsgemäß 					 traditionnellement
die Selbstverständlichkeit 					 l’évidence
im Gegensatz dazu 					 en revanche
meistens 					 le plus souvent
der Multi (s) 					 l’entreprise multinationale
etwas überschreiten 					 dépasser qch.
Vergehen (i,a) 					 s’écouler (die Zeit)
überleben 					 survivre
die Entwicklung (en) 					 l’évolution
sich an etwas anpassen 					 s’adapter
Sich wandeln 					 évoluer 
der Wandel 					 la mutation, le changement
der Mobilfunk 					 la téléphonie mobile (ITK Branche Informatik und Telekommunikation)
bei allem Wandel 					 quels que soient les changements
regelmäßig 					 régulièrement
zur Zielscheibe der Kritik werden 					 devenir la cible de ctitiques
das Abgas (e) 					 le gaz d’échappement
die Abgaswerte 					 les émissions des moteurs
das Fahrzeug (e) 					 le véhicule
die Abgasnormen 					 les normes antipollution
die Normen erfüllen 					 respecter les normes
der Betrug 					 la tromperie, la triche (betrügen)
auf Kosten + Gen. 					 aux dépens de
jemandem etwas vorwerfen 					 reprocher qch. à qn.
Arbeitsstellen abbauen 					 supprimer des emplois
Die Öffentlichkeit 					 l’opinion publique
Verständnis für etwas haben 					 faire preuve de compréhension pour qch.
Die Verantwortung wahrnehmen 					 assumer la responsabilité
zu kurz greifen 					 être un peu court (sens figuré), être insuffisant
börsennotiert 					 côté en bourse
die Aktiengesellschaft 					 la société par actions
jn anlocken 					 attirer qn.
Der Börsenwert 					 la valeur boursière
ein Unternehmen aufkaufen 					 racheter une entreprise
Der Aktienpreis 					 la valeur de l’action
in erster Linie 					 en premier lieu
der Arbeitgeber 					 employeur
Der Lebensmitteleinzelhandel 					 commerce de détail alimentaire
der Aufzug ( ̈-e) 					 l’ascenseur 
die Rolltreppe (n) 					 l’escalator
gleichnamig 					 éponyme
das Vertrauen 					 la confiance (jemandem vertrauen)
der Ruf 					 la réputation
handeln 					 agir ,
das Handeln 					 l’action
jn schonen 					 épargner qn.
Der Lieferant (en) 					 le sous-traitant
menschenwürdig behandeln 					 traiter dignement
die Nachhaltigkeit 					 le développement durable
die Gleichberechtigung 					 l’égalité homme femme
enteignen 					 déposséder, exproprier, spolier 
verstaatlichen 					 étatiser, nationaliser 
die Planwirtschaft 					 économie planifiée
das Eigentum 					 la propriété
lenken 					 piloter
anhand von 					 à l’aide de
beschlagnahmen 					 confisquer
Einzelhandelgeschäfte 					 commerces de détail
umwandeln 					 transformer
der Steuerzahler (-) 					 le contribuable
zusätzlich 					 supplémentaire
begleichen 					 régler, acquitter
das Gefälle 					 l’écart, le fossé, les disparités
verschwinden (a, u) 					 disparaitre
der Standort (e) 					 le site (Industriestandort)
der Hochtechnologiebereich (e) 					 le secteur de pointe (Biotechnologie, Informatik, erneuerbare Energien)
der Firmensitz 					 le siège social d’une entreprise
aufschlussreich 					 significatif
