mutmaßlich				présumé
eingehen				arriver, parvenir
der Vorgang("e)				évennement, processus, dosier
bitter					amer
der Bezug				la housse, le revêtement, l'abonnement
ebenfalls				aussi, également
das Kennzeichen				le signe de reconnaissance
sowie					ainsi que
der Klang(es,"e)			le son
die Fehde				la querelle
darunter				parmis lesquels
die Offenheit				la franchise
schließlich				finalement
die Spaltung				le dédoublement, la fission
der Verband ("e)			l'association, le groupement
das Leitbild				le modèle
aufgreifen				s'emparer de
der Hinterlassenschaft			l'héritage
die Gefährdung				l'atteinte (mise en danger)
wiederum				de nouveau
verborgen				caché, dérobé
die Auseinandersetzung			les explications
zeitgenössich				contemporain
die Werkstatt				l'atelier
aus etw hervor geben			il ressort que
die Einbziehung				l'implication, la prise en compte
eigen					propre (individuel)
zunehmend				croissant
gleichfall				pareillement
fortfahren				poursuivre
begünstigen				favoriser
die Häutung				la mue
der Volaüfer				le précurseur
die Wiederholung			la répétition
beeinflußen				influencer
die Uraufführung			première représentation
offensichtlich				évident
folgenlogsigkeit			l'abscence de suite
abwenden				se détourner
zeitweise				par intermittence
die Vorausetzung			une condition préalable
der Anstoß				l'impulsion
entdecken				dénicher, trouver
prallen					choquant
der Rahmen				le cadre
vielstimmig				polyphonique
die Unwwirtlichkeit			l'inhospitalité
schwinden				s'amenuiser
verstärken				consolider
die Abstammung				l'ascendance, la filiation
nachspüren				être sur les traces
die Taube				le pigeon
auffliegen				prendre son envol
der Bürgersteig				le trottoir
der Bahnsteig				le quai de gare
streichen				peindre
der Streich				la plaisanterie
jdm mit etw einen streich versetzen	assener un coup de truc à qn
der Strumpf(s,"e) 	  		chaussettes
melden					signaler, déclarer
meiden					éviter
die Bewaltigung				le dépassement
die Entfremdung				l'aliénation (philo)
stapeln					empiler
der Zettel				liste, bout de papier
sitzen, sitzt, saßm, gesessen		être assis
sieht das man nicht? 			Ça ne se voit pas?
Doch  	      				Si
Er verzog das Gesicht 			Il fit la grimace
verziehen, verzieht, verzog, verzogen	se tordre
zögern	   	     	     		hésiter
der Bleistift				le crayon à papier
zuwerfen				jeter
von untem				par le bas
drehen					tourner
umdrehen				retourner
weisen, weist, wies, gewisen		indiquer
weisen auf (acc)     			indiquer qc
beglieiten jdn				accompagner qn
aufzeigen  				démontrer
zunächt					tt d'abord
unabhängig				indépendant
gegebenen				circonstancié
die Handlung				le fait, action
die Entstehung				la construction, création
zudem					de surcroit
zeitlich				temporellement
räumlich				spatialement
trennen					séparer
beziehen (etw auf jdm)			rapporter qch à qn/qc
vorhanden     	  			disponible, existant
denkbare				concevable
notwendig				nécessaire, necessairement
unbestimmt				sans but précis
der Rückgriff				la reprise
der Sachverhalt(s,e)			le fait
zuweilen				de temps à autre
bewusst					réfléchi
mehr deutig				ambigu
undeutlich				flou, illisible
herstellen				établir
handeln					agir, commercer
dadurch					de ce fait
bestenfalls				au mieux
der Vordergrund				le premier plan
die Einführung				l'introduction
erfassen				saisir, comprendre
die Fragestellung			le problème
sicherlich				sûrement
allzu					bien trop
die Vernunft				la raison
das Gefüht				le sentiement, la sensation
verankern				ancrer
die Vernichtung				la destruction
die Umwelt				l'environnement
die Gattung				le genre littéraire
wüten					se déchainer
giftig					venimeux, criard (farbe)
der Entwurf				l'étude (peinture)
die Sammlung				la collection
die Seide				la soie
das Sprechen				la parole
der Rückgriff				la reprise
teilweise				partiellement
der Gebrauchtext			le texte fonctionnel
entscheiden				décisif
die Gestaltung				l'organisation, la présentation
sich handeln				qui concerne
bestimmen				fixer
das Einzel(s,)				le simple
vorkommen				se produire
kreisen um etw				tourner, circuler autour de qc
die Aufmerksamkeit			l'attention
das Schicksal				le destin
gedanklich				intellectuel (adj)
gedanklich				intellectuellement (adv)
die Grundlage				la base
der Wahnsinn				la folie, l'aberration
die Wahrnehnung				la perception
die Auswirkung				la répercussion
beispielhaft				exemplaire
aufführen				représenter/interpréter/jouer
fordern etw von jdm			revendiquer, exiger
herausfordern jdm zum zweikampf		défier qn en combat sing.
herausfordernd	      			provoquant
die Herausforderung			le challenge
fördern					aider,favoriser,encourager
fordernd				exigeant, de manière exigeante
auffordern jdm zum werk			prier qn de partir
auffordern jdn aus schweigen		prier qn de se taire
die Aufforderung   			demande pressante, invitation
die Förderung				l'encouragement, l'aide financière
die Maßnahme				la mesure
Maßnahmen gegen etw ergreiffen		prendre des mesures contre qc
das Maßnahmenpaket  			une série de mesures
das Maßnahmenbündel			un ensemble de mesures
die Maßregel				la disposition
~n ergreiffen/treffen			prendres des mesures
der förderer				le protecteur, le mécène
der Förderbetrieb			l'exploitation
der Förderkapazität			la capacité d'extraction
der Fördergebiet			la zone de forage, d'extraction
förderfähig				subventionnable
vergleichbar				comparable
angeblich				soi-disant
sogennant				soi-disant
die Botschaft				l'ambassade, le message
der Botschafter				l'ambassadeur
der Verstoß				l'infraction
das Gebot(es,e)				la règle
Gebote und Verbote			le droit et l'ordre
die Zehn Gebote				les dix commandements
arreichen				atteindre
allerdings				toutefois, en effet
solch					pareil
verunsicher				inquiêter
berichent jdm über etw			informer qn de qc
die Gewerkschaft   			le syndicat
die Beschwerde				la plainte
die Aufsicht				la surveillance
einreichen				déposer
die Beschwerde				la plainte
der Schulleiter				le chef d'établissement
aufrufen				appeler
die Gellaßenheit			le flegme
zwar					certes
hinweisen jdm auf etw			attirer l'attention sur qc
unzweifelhaft 	  			indubitable, incontestablement
sich auswirken				avoir des répercussions
gestalten				présenter/organiser
kritik der reinen Vernunft		critique de la raison pure
kritik der Urteilskraft			critique de la faculté de juger
das Geschehen				évènement
stammen					provenir
aus Spannien stammen			venir d'espagne
teilweise    				partiellement
niedergelassen				établir
der Stamm (eines Baum)			le tronc
der Stamm (eines Verb)			le radical
der Stamm (ling.)			la raçine
die Begegnung				la rencontre
gelassen bleiben			rester imperturbable
nieder	 				à bas
bereits					déjà
unten					en-dessous
außen/draußen				à l'extérieur
innen/drinnen				à l'intérieur
hierhin					jusqu'ici
vorn					devant
davor					avant
unter welchen Bedigung			sous quelles conditions
anders	      				autrement
möglicherweise				peut-être
so 					ainsi
womit					par quoi, avec quoi
wofür					ce pour quoi
denn					car
bevor					avant que, de
damit					afin que
falls					au cas où
allerdings				toutefois
also					donc
außerdem				en outre
dabei					en même temps, à cette occasion, et pourtant
dadurch					ainsi, de ce fait, par ce moyen
dafür					pour cela, en revanche
dagegen					en revanche
darauf					puis, à ce sujet
davor					avant, auparavant
dazu					avec cela
dann					puis
jedoch					pourtant
beinahe					presque/quasi
bekanntlich				comme chacun sait
hauptsachlich				surtout
worüber					ce sur quoi, ce à propos de quoi
wohingegen				alors que, tandis que
trotzdem				tout de même
also					ainsi donc
aufwärts				vers le haut
oberhalb				au dessus
neulich					récemment
regelmaßig				régulièrement
stets					constamment
zurzeit					actuellement
anstandhalber				par soucis des convenances
demnach					en conséquence
demzufolge				par conséquent
folglich				par conséquent
somit					par conséquent
äußerts					extremement
ebenfalls				aussi
genauso					de même
kaum					guère, à peine
außerdem				en outre
zuvor					auparavant, avant
doch					quand même, pourtant
ehe					avant que
in dem + pp				en faisant
seitdem	 				depuis que
sodaß					à tel point que, de façon que
sooft					aussi souvent que
anschließend				ensuite
ferner					de plus
immerhin				tout de même
vorher					avant, auparavant
zuvor					préalablement
folgendermaßen				de la manière suivante
großenteils				en majeure partie, majoritairement
reihenweise				les uns après les autres
damit					avec cela
dafür					pour cela
daran					à cela
außerhalb				à l'extérieur
oberhalb				au dessus de
diesseits				de ce coté ci
inmitteln				au milieu de
längs					le long de
unweit					non loin de
dank					grâce à
statt					à la place de
trotz					malgrès
während					pendant
wegen					à cause de
aufteilen				diviser, partager
die Mehrheit				la majorité
die Minderheit				la minorité
beibehalten				garder, conserver
bzw					beziehungsweise (par extension)
hervor gehen				être issu de
herrschen				régner
das Herzogstum(er)			le duché
der Herzog("e)				le duc
hinzufügen				ajouter
die Papstüm				la papauté
schwären				affaiblir
mächtig					puissant
der Kursfürstum				le prince électeur
die Zersplitterung			la fragmeentation
gipfeln					atteindre son apogé dans qc
die Spaltung				la division
verbreiten				propager
der Erfindung				l'invention
eigeleiten				engager
der Anhalt				le point de repère
anhalten				 s'arrêter ou continuer, durer, se prolonger
ausweitern				 élargir, développer
der Monch("e)				 le moine
unterrichten				 enseigner
verbergen				 cacher
sich freuen auf				 se réjouir de qch (à l'avance)
sich freun über				 se réjouir de qc (maintenant)
denken an  				 penser à
denken über				 réfléchir à
die Niederlage				 la défaite
errichten				 ériger
die Schlacht				 la bataille
zurückziehen				 se retirer
atteindre				 treffen, erreichen
erhalten, bleiben			 être conservé
prägen	  				 frapper
befestigen				 fixer, stabiliser
die Wohnungeinrichtung			 le mobilier
die Bildungseinrichtung			 établissement de formation
weitgehend				 à qqs détails près
der Oberhaupt				 le chef
sowohl ... wie auch			 aussi bien ... que
die Bezeichnung				 désignations, indications
die Bekehrung				 la conversion (rel)
sichern sich etw (akk)			 s'assurer qc
aufbauen     	 			 instaurer
die Beibehaltung			 la conservation
der Verdienst				 le mérite
enstanden				 se constituer, naître
jedoch					 pourtant
verhindern				 empêcher
verstecken				 dissimuler
geraten, gerät, geriet			 être surpris
trennen	 				 séparer
sich verbünden				 s'allier
der Anschlag				 l'attentat
verwüsten				 ravager
trotzdem				 tout de même
gelangen				 réussir
das Kursfürstentum			 l'électorat
das Preußen				 la Prusse
aufstigen, aufstieg, aufgestiegen	 s'élever, monter
gültig	   	     			 valide
begünstigen				 favoriser
festliegen				 être fixé
allerdings				 toutefois
versinken				 sombrer
verkennen				 sous estimer, méconnaître
vorwerfen				 reprocher
aufteilen				 subdiviser
zugunsten				 en faveur
das Gefüge				 la structure
infolge					 à la suite
streben					 aspirer
auseinander sein			 être écarté
begeistern sich				 s'enthousiasmer
das Adel (-s,)				 l'aristocratie
abgeschaffen				 abroger
besetzen				 occuper
vereinfachen				 simplifier
abscheiden				 se séparer (chem.)
sich etwas abschneiden			 se couper de qc
der Abschnitt				 un paragraphe, partie, tronçon
die Ausschreitungen			 un acte de violences
schreiten				 avancer d'un pas
zur tat schreiten			 passer à l'acte
zur wahl schreiten			 procéder à l'élection
das Schreiten				 la démarche
einrichten				 installer
das Verhältnis				 rapport/proportion
anschaulich				 clair
stanza					 chambre
kümmern					 concerner
sich kümmern				 s'occuper de
eisig					 glacial (adj)
der Elternabend				 réunion, parents, profs
die Rechhaberei				 la volonté d'avoir toujours raison
das Schweigen				 le silence, le mutisme
die Kita				 la garderie
der Auftraggeber			 le commanditaire, le client
auftauchen				 apparaître, émerger
tauchen					 plonger, émerger
tauschen				 échanger
der Auftrag				 la commande
der Handelde(r) (f/m)			 personnes agissante (jur, acteur)
der Ausgleich				 la compensation
das Geslecht				 le sexe, génération
das Verhängnis				 le désastre, fatalité
die Spur				 la trace
spüren					 sentir
